time,open,high,low,close,tick_volume,spread,real_volume
2022-08-08 20:00:00,4143.4,4152.2,4139.4,4149.2,2582,20,0
2022-08-08 21:00:00,4149.2,4149.4,4128.4,4134.9,3371,20,0
2022-08-08 22:00:00,4134.9,4143.9,4130.9,4140.7,3138,20,0
2022-08-08 23:00:00,4140.2,4150.0,4139.3,4149.3,307,20,0
2022-08-09 01:00:00,4147.7,4147.7,4144.5,4145.0,395,50,0
2022-08-09 02:00:00,4144.8,4153.8,4143.3,4151.0,554,50,0
2022-08-09 03:00:00,4151.0,4152.7,4145.5,4145.5,930,50,0
2022-08-09 04:00:00,4145.7,4146.0,4138.2,4139.5,1090,50,0
2022-08-09 05:00:00,4139.7,4145.2,4139.7,4145.0,770,50,0
2022-08-09 06:00:00,4144.7,4152.2,4144.7,4151.7,743,50,0
2022-08-09 07:00:00,4151.6,4152.2,4148.5,4149.7,329,50,0
2022-08-09 08:00:00,4149.5,4150.7,4147.0,4148.0,753,50,0
2022-08-09 09:00:00,4148.2,4148.5,4142.5,4146.2,900,50,0
2022-08-09 10:00:00,4146.2,4151.0,4138.7,4144.7,1687,50,0
2022-08-09 11:00:00,4144.6,4148.0,4140.0,4146.5,1460,50,0
2022-08-09 12:00:00,4146.6,4148.7,4141.5,4142.0,964,50,0
2022-08-09 13:00:00,4141.7,4143.2,4129.5,4133.0,1566,50,0
2022-08-09 14:00:00,4133.0,4136.0,4123.7,4125.0,1518,50,0
2022-08-09 15:00:00,4125.2,4132.5,4122.1,4130.2,1261,50,0
2022-08-09 16:00:00,4130.1,4136.9,4118.6,4120.9,3564,20,0
2022-08-09 17:00:00,4120.9,4130.7,4117.0,4122.7,3673,20,0
2022-08-09 18:00:00,4123.0,4132.7,4113.0,4122.7,2878,20,0
2022-08-09 19:00:00,4122.5,4125.0,4114.0,4118.4,2440,20,0
2022-08-09 20:00:00,4118.7,4124.4,4112.7,4122.4,2090,20,0
2022-08-09 21:00:00,4122.4,4125.2,4111.7,4119.9,1995,20,0
2022-08-09 22:00:00,4119.9,4127.2,4117.4,4123.4,2196,20,0
2022-08-09 23:00:00,4123.8,4128.0,4123.8,4127.8,360,50,0
2022-08-10 01:00:00,4126.9,4127.6,4124.7,4125.2,347,50,0
2022-08-10 02:00:00,4125.0,4127.7,4124.5,4127.2,408,50,0
2022-08-10 03:00:00,4127.1,4128.1,4118.7,4118.7,1077,50,0
2022-08-10 04:00:00,4118.7,4126.2,4118.7,4123.0,1015,50,0
2022-08-10 05:00:00,4122.7,4124.1,4118.0,4121.2,952,50,0
2022-08-10 06:00:00,4121.5,4122.5,4119.2,4119.7,455,50,0
2022-08-10 07:00:00,4120.0,4122.5,4120.0,4121.7,294,50,0
2022-08-10 08:00:00,4121.5,4122.0,4116.7,4116.7,511,50,0
2022-08-10 09:00:00,4116.7,4119.0,4113.4,4118.0,904,50,0
2022-08-10 10:00:00,4118.2,4127.5,4112.0,4124.2,1935,50,0
2022-08-10 11:00:00,4124.4,4138.2,4123.2,4135.7,1358,50,0
2022-08-10 12:00:00,4136.0,4137.5,4130.5,4133.2,718,50,0
2022-08-10 13:00:00,4133.0,4134.2,4129.0,4131.5,761,50,0
2022-08-10 14:00:00,4131.6,4136.0,4130.2,4136.0,959,50,0
2022-08-10 15:00:00,4136.0,4199.5,4134.7,4190.0,3233,50,0
2022-08-10 16:00:00,4190.5,4198.1,4181.6,4191.9,4102,20,0
2022-08-10 17:00:00,4191.9,4198.1,4176.9,4197.6,3522,20,0
2022-08-10 18:00:00,4198.1,4210.1,4197.9,4205.9,2137,20,0
2022-08-10 19:00:00,4205.6,4207.9,4193.1,4200.4,1834,20,0
2022-08-10 20:00:00,4200.6,4207.6,4196.9,4204.1,1581,20,0
2022-08-10 21:00:00,4204.1,4206.1,4194.4,4194.6,1621,20,0
2022-08-10 22:00:00,4194.4,4211.1,4193.4,4208.9,1866,20,0
2022-08-10 23:00:00,4208.0,4211.2,4205.7,4208.7,362,50,0
2022-08-11 01:00:00,4207.0,4207.2,4203.9,4205.2,275,50,0
2022-08-11 02:00:00,4204.9,4210.9,4204.9,4209.7,373,50,0
2022-08-11 03:00:00,4209.9,4220.2,4209.7,4219.2,721,50,0
2022-08-11 04:00:00,4219.0,4221.9,4216.7,4217.4,802,50,0
2022-08-11 05:00:00,4217.3,4219.9,4215.4,4216.5,446,50,0
2022-08-11 06:00:00,4216.7,4221.2,4216.5,4219.7,525,50,0
2022-08-11 07:00:00,4219.7,4220.4,4216.7,4216.7,343,50,0
2022-08-11 08:00:00,4216.4,4219.7,4216.2,4218.7,553,50,0
2022-08-11 09:00:00,4218.9,4229.2,4214.7,4224.4,1011,50,0
2022-08-11 10:00:00,4224.9,4225.2,4214.7,4217.9,1771,50,0
2022-08-11 11:00:00,4217.8,4217.9,4210.4,4215.9,1241,50,0
2022-08-11 12:00:00,4216.2,4223.0,4213.9,4220.7,1189,50,0
2022-08-11 13:00:00,4220.9,4221.2,4216.4,4219.7,869,50,0
2022-08-11 14:00:00,4219.4,4226.9,4218.4,4225.7,659,50,0
2022-08-11 15:00:00,4225.7,4243.2,4225.7,4241.7,1846,50,0
2022-08-11 16:00:00,4241.9,4243.3,4230.6,4241.6,2683,20,0
2022-08-11 17:00:00,4242.1,4258.4,4241.1,4244.9,2517,20,0
2022-08-11 18:00:00,4244.9,4245.6,4219.9,4225.1,3472,20,0
2022-08-11 19:00:00,4225.1,4233.4,4220.1,4232.6,2279,20,0
2022-08-11 20:00:00,4232.9,4238.9,4226.1,4228.1,2165,20,0
2022-08-11 21:00:00,4228.4,4228.4,4204.1,4210.1,2346,20,0
2022-08-11 22:00:00,4210.1,4212.1,4200.9,4209.4,2801,20,0
2022-08-11 23:00:00,4210.2,4217.5,4210.2,4216.5,504,50,0
2022-08-12 01:00:00,4214.6,4215.5,4210.0,4211.4,392,50,0
