entry_time,entry,sl,tp,lotes,capital_before,exit_time,exit_price,exit_reason,pnl,capital_after,bars_held
2024-07-12 16:00:00,5608.27,5594.063140524748,5627.212479300338,0.07,11096.031931188583,2024-07-12 17:00:00,5627.212479300338,tp,132.24735510236079,11228.279286290945,1.0
2024-08-01 12:00:00,5542.28,5519.405836079347,5572.778885227537,0.04,11228.279286290945,2024-08-01 17:00:00,5519.405836079347,sl,-91.69665568261117,11136.582630608333,5.0
2024-08-15 09:00:00,5462.1,5446.830815055084,5482.4589132598885,0.07,11136.582630608333,2024-08-15 14:00:00,5446.830815055084,sl,-107.23429461441593,11029.348335993916,5.0
2024-08-16 13:00:00,5541.1,5527.078906970784,5559.794790705621,0.07,11029.348335993916,2024-08-16 15:00:00,5527.078906970784,sl,-98.49765120451194,10930.850684789404,2.0
2024-08-20 15:00:00,5607.7,5596.509225927417,5622.621032096777,0.09,10930.850684789404,2024-08-20 17:00:00,5596.509225927417,sl,-101.16696665324544,10829.683718136159,2.0
2024-08-21 16:00:00,5614.5,5603.8500667293565,5628.699911027525,0.1,10829.683718136159,2024-08-21 17:00:00,5603.8500667293565,sl,-106.99933270643488,10722.684385429724,1.0
2024-08-22 09:00:00,5620.3,5608.446743927976,5636.104341429365,0.09,10722.684385429724,2024-08-22 16:00:00,5636.104341429365,tp,141.78907286428677,10864.473458294011,7.0
2024-08-23 11:00:00,5599.2,5585.561397871144,5617.384802838474,0.07,10864.473458294011,2024-08-23 17:00:00,5617.384802838474,tp,126.94361986931692,10991.417078163327,6.0
2024-08-26 14:00:00,5641.3,5626.596882519623,5660.904156640503,0.07,10991.417078163327,2024-08-26 17:00:00,5626.596882519623,sl,-103.27182236263853,10888.14525580069,3.0
2024-08-29 12:00:00,5609.5,5591.052653672896,5634.096461769473,0.05,10888.14525580069,2024-08-29 17:00:00,5634.096461769473,tp,122.73230884736314,11010.877564648054,5.0
2024-09-12 15:00:00,5559.2,5539.776220130033,5585.098373159955,0.05,11010.877564648054,2024-09-12 16:00:00,5539.776220130033,sl,-97.36889934983446,10913.508665298219,1.0
2024-09-17 16:00:00,5650.0,5637.070371061506,5667.239505251325,0.08,10913.508665298219,2024-09-17 17:00:00,5667.239505251325,tp,137.51604201059817,11051.024707308818,1.0
2024-09-20 13:00:00,5701.7,5686.698449124487,5721.702067834017,0.07,11051.024707308818,2024-09-20 17:00:00,5686.698449124487,sl,-105.36085612859242,10945.663851180225,4.0
2024-09-26 16:00:00,5759.0,5746.818761484505,5775.241651353994,0.08,10945.663851180225,2024-09-26 17:00:00,5746.818761484505,sl,-97.84990812396282,10847.813943056262,1.0
2024-10-07 09:00:00,5745.1,5727.116713548095,5769.077715269208,0.06,10847.813943056262,2024-10-07 10:00:00,5727.116713548095,sl,-108.19971871143461,10739.614224344828,1.0
2024-10-07 11:00:00,5724.6,5706.092472396062,5749.276703471919,0.05,10739.614224344828,2024-10-07 19:00:00,5726.5,time_exit,9.249999999998183,10748.864224344827,8.0
2024-10-08 12:00:00,5716.9,5698.755529673716,5741.09262710171,0.05,10748.864224344827,2024-10-08 17:00:00,5741.09262710171,tp,120.71313550855031,10869.577359853378,5.0
2024-10-10 10:00:00,5781.5,5769.769095206228,5797.141206391697,0.09,10869.577359853378,2024-10-10 15:00:00,5769.769095206228,sl,-106.02814314395182,10763.549216709425,5.0
2024-10-10 16:00:00,5773.6,5759.6771193421855,5792.163840877087,0.07,10763.549216709425,2024-10-10 19:00:00,5792.163840877087,tp,129.59688613960535,10893.14610284903,3.0
2024-10-18 09:00:00,5847.2,5834.905977113394,5863.592030515474,0.08,10893.14610284903,2024-10-18 16:00:00,5863.592030515474,tp,130.7362441237943,11023.882346972825,7.0
